2022-06-27 14:25:21 | 127.0.0.1 | GET | 200 - - | index.html 
2022-06-27 14:26:28 | 127.0.0.1 | GET | 200 - - | index.html 
2022-06-27 14:32:54 | 127.0.0.1 | GET | 200 - - | index.html 
2022-06-27 14:32:54 | 127.0.0.1 | GET | 200 - - | swagger-ui.css 
2022-06-27 14:32:54 | 127.0.0.1 | GET | 200 - - | swagger-ui-bundle.js 
2022-06-27 14:32:54 | 127.0.0.1 | GET | 200 - - | swagger-ui-standalone-preset.js 
2022-06-27 14:32:54 | 127.0.0.1 | GET | 200 - - | swagger-ui.css 
2022-06-27 14:32:54 | 127.0.0.1 | GET | 200 - - | swagger-ui-bundle.js 
2022-06-27 14:32:54 | 127.0.0.1 | GET | 200 - - | swagger-ui-standalone-preset.js 
2022-06-27 14:32:54 | 127.0.0.1 | GET | 200 - - | doc.json 
2022-06-27 14:32:57 | 127.0.0.1 | GET | 200 - - | /intents/listIntent 
2022-06-27 14:34:56 | 127.0.0.1 | GET | 200 - - | index.html 
2022-06-27 14:34:56 | 127.0.0.1 | GET | 200 - - | doc.json 
2022-06-27 14:34:56 | 127.0.0.1 | GET | 200 - - | favicon-32x32.png 
2022-06-27 14:35:00 | 127.0.0.1 | GET | 200 - - | /intents/listIntent 
2022-06-27 14:37:10 | 127.0.0.1 | GET | 200 - - | /intents/listIntent 
2022-06-27 14:38:43 | 127.0.0.1 | GET | 200 - - | /intents/listIntent 
2022-06-27 14:43:00 | 127.0.0.1 | GET | 200 - - | /intents/listIntent 
2022-06-27 14:43:08 | 127.0.0.1 | GET | 200 - - | /intents/listIntent 
2022-06-27 14:44:26 | 127.0.0.1 | GET | 200 - - | /intents/listIntent 
2022-06-27 14:46:07 | 127.0.0.1 | GET | 200 - - | /intents/listIntent 
2022-06-27 14:46:28 | 127.0.0.1 | GET | 200 - - | /intents/listIntent 
2022-06-27 14:46:29 | 127.0.0.1 | GET | 200 - - | /intents/listIntent 
2022-06-27 14:46:45 | 127.0.0.1 | GET | 200 - - | /intents/listIntent 
2022-06-27 14:47:04 | 127.0.0.1 | GET | 200 - - | index.html 
2022-06-27 14:47:04 | 127.0.0.1 | GET | 200 - - | swagger-ui.css 
